"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
11,"NCT04506645","Study to Assess the Safety, Tolerability, and Pharmacokinetics of REGN5381 (an NPR1 Agonist) in Adult Humans",,"Recruiting","No Results Available","Healthy","Drug: REGN5381|Other: Placebo","Incidence of Treatment-Emergent Adverse Events|Change from baseline in Systolic Blood Pressure (SBP)|Change from baseline in Diastolic Blood Pressure (DBP)|Change from baseline in Mean Arterial Pressure (MAP)|Change from baseline in Pulse Pressure (PP)|Change from baseline in Heart Rate (HR)|Change from baseline in Stroke Volume (SV)|Maximum change from baseline in SBP across the first 24 hours postdose|Maximum change from baseline in DBP across the first 24 hours postdose|Maximum change from baseline in MAP across the first 24 hours postdose|Maximum change from baseline in PP across the first 24 hours postdose|Maximum change from baseline in HR across the first 24 hours postdose|Maximum change from baseline in SV across the first 24 hours postdose|Change from baseline in the 24-hour mean SBP measured from 0 to 24 hours, 24 to 48 hours, and 48 to 72 hours postdose|Change from baseline in the 24-hour mean DBP measured from 0 to 24 hours, 24 to 48 hours, and 48 to 72 hours postdose|Change from baseline in the 24-hour mean MAP measured from 0 to 24 hours, 24 to 48 hours, and 48 to 72 hours postdose|Change from baseline in the 24-hour mean PP measured from 0 to 24 hours, 24 to 48 hours, and 48 to 72 hours postdose|Change from baseline in the 24-hour mean HR measured from 0 to 24 hours, 24 to 48 hours, and 48 to 72 hours postdose|Concentrations of REGN5381 over time|Number of subjects who develop anti-drug antibodies (ADA) and titers|Percentage of subjects who develop anti-drug antibodies (ADA) and titers","Regeneron Pharmaceuticals","All","18 Years to 55 Years   (Adult)","Phase 1","112","Industry","Interventional","Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","R5381-HV-1987|2020-000940-75","September 1, 2020","July 8, 2022","July 8, 2022","August 10, 2020",,"November 9, 2021","Regeneron Study Site, Leuven, Belgium",,"https://ClinicalTrials.gov/show/NCT04506645"
12,"NCT04491838","Study of a Single Subcutaneous Dose of Pozelimab Produced From Two Different Manufacturing Processes in Healthy Adult Participants",,"Completed","No Results Available","Healthy Volunteer","Drug: Pozelimab","Assess the time of the last positive concentration (AUClast) pharmacokinetic (PK) profile of pozelimab in Process A|Assess the time of the last positive concentration (AUClast) PK profile of pozelimab in Process B|Assess peak concentration (Cmax) PK profile of pozelimabin in Process A|Assess peak concentration (Cmax) PK profile of pozelimab in Process B|Incidence of treatment emergent adverse events (TEAEs)|Incidence of anti-drug antibodies (ADA) to pozelimab over time","Regeneron Pharmaceuticals","All","18 Years to 55 Years   (Adult)","Phase 1","40","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","R3918-HV-2014|2020-002365-33","August 3, 2020","March 5, 2021","March 5, 2021","July 29, 2020",,"March 23, 2021","Regeneron Study Site, Antwerpen, Belgium",,"https://ClinicalTrials.gov/show/NCT04491838"
13,"NCT04601844","Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of Pozelimab in Combination With Cemdisiran in Healthy Adult Volunteers",,"Completed","No Results Available","Healthy","Drug: Pozelimab|Drug: Cemdisiran","Incidence and severity of treatment emergent adverse events (TEAEs)|Concentrations of pozelimab in serum over time|Concentrations of cemdisiran in plasma over time|Concentrations of total C5 over time|Change from baseline in total complement hemolytic activity assay (CH50) over time|Incidence of treatment-emergent anti-drug antibodies (ADA) to pozelimab|Incidence of treatment-emergent anti-drug antibodies (ADA) to cemdisiran","Regeneron Pharmaceuticals|Alnylam Pharmaceuticals","All","18 Years to 55 Years   (Adult)","Phase 1","19","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","R3918-HV-1982|2020-000300-11","November 16, 2020","July 23, 2021","July 23, 2021","October 26, 2020",,"November 12, 2021","Regeneron Research Site, Antwerp, Belgium",,"https://ClinicalTrials.gov/show/NCT04601844"
14,"NCT04173442","Post-authorization Safety Study in North America to Monitor Pregnancy and Infant Outcomes Following Administration of Dupilumab During Planned or Unexpected Pregnancy",,"Recruiting","No Results Available","Atopic Dermatitis (AD)|Asthma","Drug: dupilumab","Rate of major structural defects|Incidence of spontaneous abortion or miscarriage|Incidence of stillbirth|Incidence of elective termination/abortion|Incidence of premature delivery|Incidence of small for gestational age|Incidence of a pattern of 3 or more minor structural defects|Postnatal growth deficiency|Incidence of postnatal serious or opportunistic infections in live born children|Incidence of hospitalizations in live born children","Regeneron Pharmaceuticals|Sanofi","Female","18 Years and older   (Adult, Older Adult)",,"300","Industry","Observational","Observational Model: Cohort|Time Perspective: Prospective","R668-AD-1639","October 24, 2018","July 9, 2026","July 9, 2026","November 22, 2019",,"August 4, 2021","Regeneron Research Site, La Jolla, California, United States",,"https://ClinicalTrials.gov/show/NCT04173442"
15,"NCT04863014","Efficacy and Safety of Evinacumab in Adult Patients With Severe Hypertriglyceridemia for the Prevention of Recurrent Acute Pancreatitis",,"Recruiting","No Results Available","Hypertriglyceridemia","Drug: evinacumab|Other: Placebo","Proportion of patients with at least 1 positively adjudicated acute pancreatitis (AP) episode|Percent change in ApoC3|Percent change in fasting triglycerides (TGs)|Percent change in total cholesterol (TC)|Percent change in non-high-density lipoprotein cholesterol (non-HDL-C)|Percent change in ApoB48|Percent change in ApoB100 levels|Percent change in nuclear magnetic resonance (NMR)-determined particle size and number|Number of independently adjudicated episodes of AP per patient","Regeneron Pharmaceuticals","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 2","120","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","R1500-HTG-20118|2021-000437-13","July 12, 2021","October 22, 2024","October 22, 2024","April 28, 2021",,"July 21, 2021","Regeneron Research Site, Boca Raton, Florida, United States|Regeneron Research Site, San Antonio, Texas, United States",,"https://ClinicalTrials.gov/show/NCT04863014"
16,"NCT04811716","Pozelimab and Cemdisiran Combination Treatment in Adult Participants With Paroxysmal Nocturnal Hemoglobinuria Who Have Received Pozelimab Monotherapy",,"Enrolling by invitation","No Results Available","Paroxysmal Nocturnal Hemoglobinuria","Drug: Pozelimab|Drug: Cemdisiran","Incidence and severity of treatment emergent adverse events (TEAEs)|Percent change of LDH from pre-treatment to end-of-treatment period|Proportion of participants with adequate control of their LDH|Proportion of participants with normalization of their LDH|Area under the curve (AUC) of LDH over time|AUC of LDH over time|Proportion of participants with breakthrough hemolysis|Proportion of participants with hemoglobin stabilization|Change in hemoglobin levels|Proportion of participants who are transfusion-free|Rate of RBCs transfused|Number of units of RBCs transfused|Change in CH50|Change in fatigue as measured by Functional Assessment of Chronic Illness Therapy-Fatigue (FACIT-Fatigue) scale|Mean change in global health status/quality of life scale (GHS/QoL) on the European Organization for Research and Treatment of Cancer: Quality-of-Life Questionnaire core 30 items (EORTC QLQ-C30)|Mean change in physical function (PF) scores on the EORTC QLQ-C30|Concentrations of total pozelimab in serum|Concentrations of cemdisiran in plasma|Change from baseline in concentration of total C5|Incidence of pozelimab anti-drug antibody (ADA) responses over time|Incidence of cemdisiran anti-drug antibody (ADA) responses over time|Incidence and severity of TEAEs for participants who received treatment intensification|Change of LDH|Percent change of LDH|Proportion of participants with normalization of LDH|Percent change in CH50|Change in GHS/QoL on the EORTC QLQ-C30|Change in PF scores on the EORTC QLQ-C30|Incidence and severity of TEAEs|Concentrations of total C5","Regeneron Pharmaceuticals","All","18 Years and older   (Adult, Older Adult)","Phase 2","24","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","R3918-PNH-2092|2020-005005-17","July 28, 2021","January 28, 2024","January 28, 2024","March 23, 2021",,"August 3, 2021","Regeneron Research Site, Budapest, Nagyvárad Tér 1, Hungary|Regeneron Research Site, Seoul, Seoul Teugbyeolsi, Korea, Republic of",,"https://ClinicalTrials.gov/show/NCT04811716"
17,"NCT03936335","An Observational Retrospective Cohort Study Being Conducted in Women With Atopic Dermatitis (AD)",,"Recruiting","No Results Available","Adverse Pregnancy Outcomes|Atopic Dermatitis","Drug: dupilumab","Incidence of major congenital malformations|Incidence of spontaneous abortion or miscarriage|Incidence of stillbirth|Incidence of small for gestational age","Regeneron Pharmaceuticals|Sanofi","Female","18 Years to 49 Years   (Adult)",,"3930","Industry","Observational","Observational Model: Cohort|Time Perspective: Retrospective","R668-AD-1760","September 30, 2019","July 21, 2027","July 21, 2027","May 3, 2019",,"February 21, 2022","Regeneron Research Site, Boston, Massachusetts, United States",,"https://ClinicalTrials.gov/show/NCT03936335"
18,"NCT04417894","A Study to Evaluate the Efficacy and Safety of Dupilumab in Adult and Adolescent Patients With Moderate-to-Severe Atopic Hand and Foot Dermatitis (Liberty-AD-HAFT)",,"Recruiting","No Results Available","Moderate to Severe Atopic Hand and Foot Dermatitis","Drug: dupilumab|Drug: Placebo","Proportion of patients achieving an Investigator Global Assessment (IGA) (hand and foot) score of 0 or 1|Proportion of patients with improvement (reduction) of weekly average of daily hand and foot peak Pruritus Numerical Rating Scale (NRS) ≥4|Proportion of patients with improvement (reduction) of weekly average of daily hand and foot peak Pruritus NRS ≥3|Percent change in weekly average of daily hand and foot peak Pruritus NRS|Percent change in Modified Total Lesion Sign Score (mTLSS) for hand/foot lesions|Percent change in weekly average of daily hand and foot peak Pain NRS|Percent change in weekly average of daily Sleep NRS|Change in percent surface area of hand and foot involvement with AD|Proportion of patients with improvement (reduction) of weekly average of daily hand and foot peak Pruritus NRS ≥4|Percent change in Hand Eczema Severity Index (HECSI) score|Proportion of patients with HECSI-75|Proportion of patients with HECSI-50|Proportion of patients with HECSI-90|Change in Quality of Life in Hand Eczema Questionnaire (QOLHEQ)|Change in Work Productivity and Impairment (WPAI) + Classroom Impairment Questionnaire (CIQ)|Incidence of treatment-emergent adverse events (TEAEs)|Trough concentration of functional dupilumab in serum|Incidence of treatment-emergent anti-drug antibody (ADA) and titer","Regeneron Pharmaceuticals|Sanofi","All","12 Years and older   (Child, Adult, Older Adult)","Phase 3","130","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","R668-AD-1924|2019-003088-22","April 14, 2021","November 17, 2022","May 25, 2023","June 5, 2020",,"May 20, 2021","Regeneron Study Site, Rockville, Maryland, United States|Regeneron Study Site, Saint Joseph, Missouri, United States",,"https://ClinicalTrials.gov/show/NCT04417894"
19,"NCT03838731","Study in Cat-Allergic Patients With Asthma to Evaluate the Efficacy of a Single Dose of REGN1908-1909 to Reduce Bronchoconstriction Upon Cat Allergen Challenge",,"Completed","Has Results","Cat Allergy|Mild Asthma","Drug: REGN1908-1909|Drug: Placebo","Time to Early Asthmatic Response (EAR) Upon Controlled Cat Allergen Challenge in an Environmental Exposure Unit (EEU) on Day 8|Time to EAR Upon Controlled Cat Allergen Challenge in an EEU on Days 29, 57, and 85|Percent Change in Normalized Area Under the Curve (AUC) of Forced Expiratory Volume in 1 Second (FEV1) Induced by a Controlled Cat Allergen Challenge Over Exposure Interval From Baseline to Controlled Cat Allergen Challenge on Days 8, 29, 57, and 85|Change in Normalized Area Under the Curve (AUC) of Forced Expiratory Volume in 1 Second (FEV1) Induced by a Controlled Cat Allergen Challenge Over Exposure Interval From Baseline to Controlled Cat Allergen Challenge on Days 8, 29, 57, and 85|Change From Baseline in the Normalized AUC of Patient-Assessed Nasal Symptoms Induced by a Controlled Cat Allergen Challenge Over the Exposure Interval to the Controlled Cat Allergen Challenge on Days 8, 29, 57, and 85|Change From Baseline in the Normalized AUC in Patient-Assessed Ocular Symptoms Induced by a Controlled Cat Allergen Challenge Over the Exposure Interval to the Controlled Cat Allergen Challenge on Days 8, 29, 57, and 85|Mean Change From Baseline in Cat Allergen Quantity as Experienced by Participants During Exposure on Days 8, 29, 57, and 85|Percent Change in Cat Allergen Quantity as Experienced by Participants During Exposure on Days 8, 29, 57, and 85|Number of Non-Serious and Serious Treatment-Emergent Adverse Events (TEAEs) Through End of Study","Regeneron Pharmaceuticals","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 2","56","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","R1908-1909-ALG-1703|2018-002477-22","February 12, 2019","December 21, 2019","April 6, 2020","February 12, 2019","July 1, 2021","July 1, 2021","Regeneron Research Site, Strasbourg, France","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/31/NCT03838731/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/31/NCT03838731/SAP_001.pdf","https://ClinicalTrials.gov/show/NCT03838731"
20,"NCT03645746","Safety, Tolerability, and Pharmacokinetics of REGN5069 in Healthy Volunteers",,"Completed","No Results Available","Healthy Volunteer","Drug: REGN5069|Drug: Placebo","Incidence and severity of treatment-emergent adverse events (TEAEs)|Incidence of laboratory abnormalities|Incidence of vital signs abnormalties|Incidence of standard 12-lead electrocardiogram (ECG) abnormalties|Concentration of REGN5069 in serum over time|Incidence of anti-drug antibody (ADA)","Regeneron Pharmaceuticals","All","18 Years to 55 Years   (Adult)","Phase 1","56","Industry","Interventional","Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Basic Science","R5069-HV-1810|2018-000651-41","August 23, 2018","September 30, 2019","September 30, 2019","August 24, 2018",,"November 26, 2019","Regeneron Research Facility, Gent, Belgium",,"https://ClinicalTrials.gov/show/NCT03645746"
