"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
106,"NCT00244114","Study Evaluating Allergic Reactions To Benefix In Hemophilia B Patients",,"Completed","No Results Available","Hemophilia B","Drug: blood draw|Procedure: Blood draw","Descriptive presentation of the results of the Basophil histamine release assay for both study and control groups|Collect and evaluate adverse events that occur from the time the subject signs the informed consent form to 15 days following the study visit will be collected|Any serious adverse events and/or adverse events of special interest occurring outside of the predefined study reporting period noted to be possibly, probably or definitely related to treatment with BeneFIX will be reported.","Wyeth is now a wholly owned subsidiary of Pfizer","All","Child, Adult, Older Adult",,"20","Industry","Observational","Time Perspective: Prospective","3090A1-900|B1821003; 3090A-101795","February 2006","December 2009","December 2009","October 25, 2005",,"February 18, 2013",,,"https://ClinicalTrials.gov/show/NCT00244114"
107,"NCT00167973","Prospective Registry of European Hemophilia B Patients Receiving BeneFIX® for Usual Use",,"Completed","No Results Available","Hemophilia B",,"Observation for safety","Wyeth is now a wholly owned subsidiary of Pfizer","All","Child, Adult, Older Adult",,"218","Industry","Observational","Observational Model: Cohort|Time Perspective: Prospective","3090A-101039","January 2002","June 2009","June 2009","September 14, 2005",,"May 26, 2010","Vienna, Austria|Brussels, Belgium|Brussel, Belgium|Bruxelles, Belgium|Edegem, Belgium|Leuven, Belgium|Montegnée, Belgium|Amiens Cedex, France|Angers Cedex 01, France|Caen Cedex, France|Chambery Cedex, France|Grenoble Cedex 09, France|Le Chesnay Cedex, France|Le Kremlin Bicetre Cedex, France|Liffre, France|Limoges, France|Lyon Cedex, France|Lyon, France|Marseille Cedex 5, France|Montmorency, France|Montpellier Cedex 5, France|Montpellier Cedex, France|Nantes Cedex, France|Nevers, France|Nice Cedex, France|Osseja Cedex, France|Paris Cedex 14, France|Paris Cedex 15, France|Rouen, France|Saint Priest en Jarez, France|St Priest en Jarez, France|Tours Cedex, France|Erlangen, BY, Germany|Hamburg, HH, Germany|Muenster, NW, Germany|Ancona, AN, Italy|Bari, BA, Italy|Catania, CT, Italy|Catanzaro, CZ, Italy|Milano, MI, Italy|Palermo, PA, Italy|Pescara, PE, Italy|Parma, PR, Italy|Reggio Calabria, RC, Italy|Sassari, SS, Italy|Napoli, Italy|Padova, Italy|Palermo, Italy|Perugia, Italy|Roma, Italy|Vicenza, Italy|Amsterdam, Netherlands|Breda, Netherlands|Eindhoven, Netherlands|Maastricht, Netherlands|Nijmegen, Netherlands|Utrecht, Netherlands|Coimbra, Portugal|Almeria, Spain|Barcelona, Spain|Burgos, Spain|Cadiz, Spain|Esplugues de Llobregat, Spain|Madrid, Spain|Mérida-Badajoz, Spain|Santander, Spain|Sevilla, Spain|Valencia, Spain|Valladolid, Spain|Vitoria, Spain|Zaragoza, Spain|Malmö, Sweden|Stockholm, Sweden|Truro, Cnwll, United Kingdom|London, Gt Lon, United Kingdom|London, Gt Lon, United Kingdom|London, Gt Lon, United Kingdom|Manchester, Gt Man, United Kingdom|Edinburgh, Loth, United Kingdom|Liverpool, Mersyd, United Kingdom|Sheffield, Mersyd, United Kingdom|Oxford, Oxon, United Kingdom|Sheffield, Syorks, United Kingdom|Cardiff, W Glam, United Kingdom|Birmingham, Wstmid, United Kingdom|Wolverhampton, Wstmid, United Kingdom|Leeds, Wyorks, United Kingdom|London, United Kingdom|Plymouth, United Kingdom|Poole, United Kingdom|Sheffield, United Kingdom",,"https://ClinicalTrials.gov/show/NCT00167973"
108,"NCT03641703","A Long-Term Follow-Up Study of Haemophilia B Patients Who Have Undergone Gene Therapy",,"Active, not recruiting","No Results Available","Hemophilia B","Biological: FLT180a","Primary Safety Measurement|Durability of Response|Secondary Safety Measurement|FIX Activity Levels at or below 150%|FIX Activity Levels including 150% or above|FIX Activity Levels - Change from baseline|Haemostatic Effectiveness - Bleeding Rates|Haemostatic Effectiveness - FIX Concentrate Consumption|FLT180a effectiveness related to surgical/dental procedures by assessment of consumption of exogenous clotting factors at Time of surgery, Time of drain removal (if applicable)|FLT180a effectiveness related to surgical/dental procedures by assessment of measurement of absolute blood loss at Time of surgery, Time of drain removal (if applicable)|FLT180a effectiveness related to surgical/dental procedures by assessment of blood transfusion requirement, volume and number of transfusions at Time of surgery, Time of drain removal (if applicable)|FLT180a effectiveness related to surgical/dental procedures by assessment of efficacy of haemostasis as judged by surgeon on a 4-point scale at Time of surgery, Time of drain removal (if applicable)|Immune response to the hFIX transgene product (i.e., development of inhibitors) will be assessed by measurement of the level of inhibitors.|Clearance of vector genomes (vgs) in plasma, urine, saliva, stool and semen.","Freeline Therapeutics","Male","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","10","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","FLT180a-04","July 10, 2018","December 31, 2035","December 31, 2035","August 22, 2018",,"December 1, 2020","The Haemophilia and Thrombosis Centre, Canterbury, Kent, United Kingdom|Sheffield Teaching Hospital, Sheffield, South Yorkshire, United Kingdom|Royal Free London NHS Foundation Tust, London, United Kingdom|Newcastle Hemophilia Comprehensive Care Centre, Newcastle, United Kingdom|Oxford University Hospitals NHS Foundation Trust, Oxford, United Kingdom|Southampton Haemophilia Comprehensive Care Centre, Southampton, United Kingdom",,"https://ClinicalTrials.gov/show/NCT03641703"
109,"NCT02048111","Study of Recombinant Factor IX Product, IB1001, in Previously Treated Subjects With Hemophilia B",,"Withdrawn","No Results Available","Hemophilia B","Biological: IB1001","Number of study subjects with adverse events|Number of bleeding episodes divided by number of months of observation","Cangene Corporation","All","12 Years and older   (Child, Adult, Older Adult)","Phase 3","0","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care","IB1001-04","March 2014","October 2015","November 2015","January 29, 2014",,"August 23, 2016","Chicago, Illinois, United States|Manchester, United Kingdom",,"https://ClinicalTrials.gov/show/NCT02048111"
110,"NCT03861273","A Study to Evaluate the Efficacy and Safety of Factor IX Gene Therapy With PF-06838435 in Adult Males With Moderately Severe to Severe Hemophilia B","BENEGENE-2","Recruiting","No Results Available","Hemophilia B","Biological: PF-06838435/ fidanacogene elaparvovec","Annualized bleeding rate (ABR)|Vector derived FIX:C level|Annualized infusion rate (AIR) of exogenous Factor IX Activity|Annualized bleeding rate (ABR) for treated and untreated bleeds|Annualized Factor IX Activity consumption|Annualized number of bleeding events of specific type: spontaneous and traumatic, and untreated|Frequency of target joint bleeds|Percentage of the participants without bleeds|Change in joint health as measured by the Hemophilia Joint Health Score (HJHS) instrument|Patient Reported Outcome (PRO) instrument - Hemophilia Quality of Life (Haem A QoL) Physical Health domain|Patient Reported Outcome (PRO) instrument - Hemophilia Activities List (HAL) Complex Lower Extremity Activities Component Score|Annualized Bleeding Rate for treated bleeds|Vector derived Factor IX activity (FIX:C) level at steady state|Annualized infusion rate (AIR) of exogenous Factor IX|ABR for total bleeds (treated and untreated)|Annualized Factor IX consumption|Hemophilia Joint Health Score (HJHS)|Incidence and severity of all adverse events collected during the study","Pfizer","Male","18 Years to 65 Years   (Adult, Older Adult)","Phase 3","55","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","C0371002|2018-003086-33","July 29, 2019","November 21, 2022","September 30, 2029","March 4, 2019",,"January 6, 2022","University of California, San Francisco - Investigational Drug Service (IDS) Pharmacy, San Francisco, California, United States|University of California, San Francisco - Clinical Research Center, San Francisco, California, United States|University of California, San Francisco - Outpatient Hematology Clinic, San Francisco, California, United States|Hemophilia and Thrombosis Center at the University of Colorado Anschutz Medical Campus, Aurora, Colorado, United States|Indiana Hemophilia and Thrombosis Center, Inc, Indianapolis, Indiana, United States|St. Vincent Hospital & Health Care Center, Inc., Indianapolis, Indiana, United States|Mississippi Baptist Medical Center, Jackson, Mississippi, United States|Madison Radiological Group, Madison, Mississippi, United States|Mississippi Center for Advanced Medicine, Madison, Mississippi, United States|Center for Human Phenomic Science CHPS, Philadelphia, Pennsylvania, United States|Center for Human Phenomic Science, Philadelphia, Pennsylvania, United States|Penn Blood Disorder Center, Philadelphia, Pennsylvania, United States|Penn Comprehensive Hemophilia & Thrombosis Program, Hospital of University of Pennsylvania, Philadelphia, Pennsylvania, United States|Royal Prince Alfred Hospital, Camperdown, New South Wales, Australia|Royal Adelaide Hospital, Adelaide, South Australia, Australia|Centro de Hematologia e Hemoterapia - Hemocentro de Campinas - UNICAMP, Campinas, SÃO Paulo, Brazil|Instituto Estadual de Hematologia Arthur de Siqueira Cavalcanti - HEMORIO, Rio de Janeiro, Brazil|Instituto Estadual de Hematologia Arthur de Siqueira Cavalcanti- HEMORIO, Rio de Janeiro, Brazil|McMaster University Medical Centre - Hamilton Health Sciences, Hamilton, Ontario, Canada|Juravinski Hospital - Hamilton Health Sciences, Hamilton, Ontario, Canada|St. Michael's Hospital, Toronto, Ontario, Canada|Hopital Cardiologique Louis Pradel - CRTH, Bron, France|Hopital Necker, Paris, France|Vivantes Klinikum Friedrichshain, Berlin, Germany|Vivantes Klinikum im Friedrichshain, Berlin, Germany|Universitätsklinikum Bonn, Anstalt des öffentlichen Rechts, Bonn, Germany|Universitätsklinikum Bonn, Bonn, Germany|General Hospital of Athens ""LAIKO"", 2nd Regional Blood Transfusion Center, Athens, Greece|Nara Medical University Hospital, Kashihara, Nara, Japan|National Center for Child Health and Development, Setagaya-ku, Tokyo, Japan|King Faisal Specialist Hospital and Research Centre, Riyadh, Saudi Arabia|Skåne University Hospital, Department of Hematology, Oncology and Radiation Physics, Malmö, Sweden|ApoEx AB, Malmö, Sweden|Kaohsiung Medical University Chung-Ho Memorial Hospital, Kaohsiung, Taiwan|Taichung Veterans General Hospital, Taichung, Taiwan|National Taiwan University Hospital, Taipei, Taiwan|Acibadem Adana Hospital, Adana, Turkey|Gaziantep University Sahinbey Training and Research Hospital, Gaziantep, Turkey|Ege University Medical Faculty Hospital, Izmir, Turkey|Newcastle upon Tyne Hospitals NHS FT, Newcastle Upon Tyne, Tyne & Wear, United Kingdom|Newcastle upon Tyne Hospitals NHS FT, Newcastle Upon Tyne, Tyne & Wear, United Kingdom|Newcastle upon Tyne Hospitals NHS FT, Newcastle upon Tyne, Tyne & Wear, United Kingdom|Newcastle upon Tyne Hospitals NHS FT, Newcastle upon Tyne, Tyne & Wear, United Kingdom|Glasgow Royal Infirmary, Glasgow, United Kingdom|Glasgow Royal Infirmary, Glasgow, United Kingdom",,"https://ClinicalTrials.gov/show/NCT03861273"
111,"NCT05191927","A Nomogram Model to Predict Central Lymphnode Metastasis in Thyroid Papillary Carcinoma",,"Completed","No Results Available","Thyroid Papillary Carcinoma","Other: male","Multivariate logistic regression analysis","Sun Yat-Sen Memorial Hospital of Sun Yat-Sen University|The First Affiliated Hospital of Zhengzhou University","All","Child, Adult, Older Adult",,"1200","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","NO.SYSEC-KY-KS-2021-180","January 1, 2020","January 1, 2021","August 1, 2021","January 14, 2022",,"January 14, 2022","Sun Yat-sen Memorial Hospital of Sun Yat-Sen University, Guangzhou, Guangdong, China","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/27/NCT05191927/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT05191927"
112,"NCT02456103","Extension Study of Ataluren in Participants With Nonsense Mutation Cystic Fibrosis",,"Terminated","Has Results","Cystic Fibrosis","Drug: Ataluren","Number of Participants With Treatment Emergent Adverse Events (TEAEs)|Number of Participants With a Clinically Meaningful Abnormal Clinical Laboratory (Serum Biochemistry, Hematology, and Urinalysis) Parameter|Change From Baseline in Percent-Predicted Forced Expiratory Volume in 1 Second (FEV1) as Measured by Spirometry at Week 24|Change From Baseline in Percent-Predicted of Forced Vital Capacity (FVC) as Measured by Spirometry at Week 24|Change From Baseline in Forced Expiratory Flow Between 25% and 75% of Expiration (FEF25-75) as Measured by Spirometry at Week 24|Rate of Pulmonary Exacerbations as Defined by Modified Fuch's Criteria Over 48 Weeks","PTC Therapeutics","All","6 Years and older   (Child, Adult, Older Adult)","Phase 3","246","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","PTC124-GD-021e-CF","August 31, 2015","June 2, 2017","June 2, 2017","May 28, 2015","April 15, 2020","April 27, 2020","University of Alabama at Birmingham, Birmingham, Alabama, United States|Miller Children's Hospital Long Beach, Long Beach, California, United States|Children's Hospital Los Angeles, Los Angeles, California, United States|Children's Hospital and Research Center at Oakland, Oakland, California, United States|Stanford University-Children's Hospital, Palo Alto, California, United States|Children's Hospital Colorado, Aurora, Colorado, United States|Nemours Children's Clinic, Jacksonville, Florida, United States|University of Miami, Miami, Florida, United States|Miami Children's Hospital, Miami, Florida, United States|All Children's Hospital, Saint Petersburg, Florida, United States|Ann and Robert H. Lurie Children's Hospital of Chicago, Chicago, Illinois, United States|Indiana University, Indianapolis, Indiana, United States|Children's Hospital Boston, Boston, Massachusetts, United States|Washington University, Saint Louis, Missouri, United States|Morristown Medical Center, Morristown, New Jersey, United States|Beth Israel Medical Center, New York, New York, United States|New York University Langone Medical Center, New York, New York, United States|Columbia University Medical Center, New York, New York, United States|University of Cincinnati, Cincinnati, Ohio, United States|Penn State Milton S. Hershey Medical Center, Hershey, Pennsylvania, United States|Drexel University College of Medicine, Philadelphia, Pennsylvania, United States|Texas Children's Hospital, Houston, Texas, United States|University of Texas Health Science Center, Tyler, Texas, United States|Childrens Hospital of Wisconsin, Milwaukee, Wisconsin, United States|Hospital de Ninos Ricardo Gutierrez, Buenos Aires, Argentina|Hospital Universitario Austral, Buenos Aires, Argentina|Royal Adelaide Hospital, Adelaide, Australia|Prince Charles Hospital, Chermside, Australia|Princess Margaret Hospital, Perth, Australia|University Hospital Brussels, Brussels, Belgium|Hopital Universitaire des Enfants Reine Fabiola, Brussels, Belgium|University Hospital Leuven, Leuven, Belgium|Hospital Sao Lucas Da Pontificia Universidade Catolica Do Rio Grande Do Sul, Porto Alegre, Brazil|University Mulitiprofile Hospital for Active Treatment Sveti Georgi EAD, Plovdiv, Bulgaria|University Multiprofile Hospital for Active Treatment Aleksandrovska EAD, Sofia, Bulgaria|Clinical Research Institute of Montreal, Montreal, Canada|University of Toronto Hospital for Sick Children, Toronto, Canada|British Columbia Children's Hospital, Vancouver, Canada|Hoptial Arnaud de Villeneuve, Montpellier, France|Hopital Necker - Enfants Malades, Paris, France|Centre de Perharidy, Roscoff, France|Centre Hospitalier Regional Sud Reunion, Saint-Pierre, France|Charite-Universitatsmedizin Berlin, Berlin, Germany|St. Josef Hospital GmbH, Bochum, Germany|University of Cologne Children's Hospital, Cologne, Germany|Christiane Herzog CF-Zentrum, Frankfurt am Main, Germany|Universitatsklinikum Jena, Jena, Germany|Dr. Von Haunersches Kinderspital, Munchen, Germany|LMU Klinikum der Universitat Muchen, Munich, Germany|Ippokratio General Hospital Of Thessaloniki, Thessaloniki, Greece|Meyer Children's Hospital, Haifa, Israel|Hadassah University Hospital, Jerusalem, Israel|Azienda Ospedaliero Universitaria Ospedall Riuniti di Acona-Umberto I G.M. Lancisi G. Salesi, Ancona, Italy|Azienda Ospedaliera A Meyer, Firenze, Italy|Lombardia Cystic Fibrosis Center, Milan, Italy|Azienda Policlinico Umberto I, Rome, Italy|Ospedale Pediatrico Bambino Gesu, Rome, Italy|Azienda Ospedaliera di Verona, Verona, Italy|Hagaziekenhuis, s-Gravenweg, Zuid-Holland, Netherlands|Radboud University, Nijmegen, Netherlands|Szpital Dzieciecy Polanki im Macieja Plazynskiego w Gdansku, Gdansk, Poland|Institute of Mother and Child, Warsaw, Poland|Hospital Universitario Vall d'Hebron, Barcelona, Spain|Hospital University, Barcelona, Spain|Hospital San Juan, Esplugues De Llobregat, Spain|Hospital Regional Universitario de Malaga, Malaga, Spain|Hospital de Sabadell, Consorci Sanitari Parc Tauli, Sabadell, Spain|Hospital Universitario Virgen del Rocio, Sevilla, Spain|St James University Hospital, Leeds, United Kingdom|Royal Brompton Hospital, London, United Kingdom","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/03/NCT02456103/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/03/NCT02456103/SAP_001.pdf","https://ClinicalTrials.gov/show/NCT02456103"
113,"NCT02565836","Fixed-dose Activated Versus Variable-dose Inactivated Prothrombin Complex Concentrate for Warfarin-associated Major Bleed",,"Completed","No Results Available","Hemorrhage","Drug: fixed-dose activated prothrombin complex concentrate|Drug: variable-dose inactivated prothrombin complex concentrate","Achievement of INR less than or equal to 1.5|Incidence of mortality or thrombotic events","Rush University Medical Center|Advocate Health Care","All","18 Years and older   (Adult, Older Adult)",,"342","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","15092404","October 2015","September 30, 2016","September 30, 2016","October 1, 2015",,"October 25, 2017",,,"https://ClinicalTrials.gov/show/NCT02565836"
114,"NCT02819557","Study of Ataluren in ≥2 to <5 Year-Old Male Participants With Duchenne Muscular Dystrophy",,"Completed","Has Results","Duchenne Muscular Dystrophy","Drug: Ataluren","Number of Participants With Treatment Emergent Adverse Events (TEAEs), TEAEs Leading to Discontinuation, and Serious Adverse Events (SAEs)|Number of Participants With a Clinically Meaningful Abnormal Clinical Laboratory (Biochemistry, Hematology, and Urinalysis) Parameter|Number of Participants With a Clinically Meaningful Abnormal Electrocardiogram (ECG) Test Results|Number of Participants With a Dose-Limiting Toxicity as Measured by Hepatic and Renal Toxicity|Pharmacokinetics: Maximum Observed Plasma Concentration From Time Zero up to 6 Hours After the Morning Dose (Cmax0-6hr)|Pharmacokinetics: Time to Reach Maximum Observed Plasma Concentration From Time Zero up to 6 Hours After the Morning Dose (Tmax0-6hr)|Area Under the Plasma Concentration Time Curve From Time Zero up to 10 Hours After the Morning Dose (AUC0-10hr)|Pharmacokinetics: Concentration at the End of the First (Morning) Dose Interval (Ctrough6hr)|Change From Baseline in Proximal Muscle Function as Assessed by Speed During TFTs|Change From Baseline in Physical Function as Measured by the NSAA|Change From Baseline in Height of Participants at Weeks 4, 16, 28, 40, 52, and 56|Change From Baseline in Weight of Participants at Weeks 4, 16, 28, 40, 52, and 56|Change From Baseline in Body Mass Index of Participants at Weeks 4, 16, 28, 40, 52, and 56|Ataluren Palatability Characteristics as Determined by a Parent/Caregiver Questionnaire","PTC Therapeutics","Male","2 Years to 5 Years   (Child)","Phase 2","14","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","PTC124-GD-030-DMD","June 9, 2016","February 9, 2018","February 9, 2018","June 30, 2016","August 28, 2020","August 28, 2020","Child Neuro NWF, Gulf Breeze, Florida, United States|Rush University Medical Center, Chicago, Illinois, United States|Children's Hospital Boston, Boston, Massachusetts, United States|Cincinnati Children's Hospital Medical Center, Cincinnati, Ohio, United States|Children's Medical Center Dallas, Dallas, Texas, United States|University of Utah, Salt Lake City, Utah, United States","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/57/NCT02819557/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/57/NCT02819557/SAP_001.pdf","https://ClinicalTrials.gov/show/NCT02819557"
115,"NCT00716716","Phase I/IIa Study of FIXFc in Hemophilia B Patients",,"Completed","No Results Available","Hemophilia B","Drug: rFIXFc","Number of Participants experiencing Adverse Events|Time to reach maximum concentration (Tmax)|Maximum concentration (Cmax)|Half-life (t½)|Clearance (CL)|Volume of distribution (Vd)|Area under the curve (AUC)|Mean residence time (MRT)|Incremental recovery (K)|Factor IX protein (FIX) activity|Recombinant (FIXFc) concentration over time curves","Bioverativ Therapeutics Inc.|Syntonix Pharmaceuticals, Inc.|Swedish Orphan Biovitrum|Sanofi","Male","18 Years and older   (Adult, Older Adult)","Phase 1","10","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","SYN-FIXFc-07-001","April 2008","October 2009","October 2009","July 16, 2008",,"December 19, 2020","RUSH University Medical Center, Chicago, Illinois, United States|Indiana Hemophilia & Thrombosis Center, Indianapolis, Indiana, United States|Brigham & Women's Hospital, Boston, Massachusetts, United States|University of North Carolina Medical School, Chapel Hill, North Carolina, United States|Hemophilia Center of Western PA, Pittsburgh, Pennsylvania, United States|Puget Sound Blood Center, Seattle, Washington, United States",,"https://ClinicalTrials.gov/show/NCT00716716"
116,"NCT03690336","Adverse Event Data Collection From External Registries on Nonacog Beta Pegol",,"Enrolling by invitation","No Results Available","Haemophilia B","Drug: Nonacog beta pegol","Adverse Drug Reactions (ADRs) reported to the registries with suspected relation to nonacog beta pegol in patients with haemophilia B|Other ADRs reported to the registries during the study period with suspected relation to nonacog beta pegol in patients with haemophilia B","Novo Nordisk A/S","All","Child, Adult, Older Adult",,"10","Industry","Observational","Observational Model: Cohort|Time Perspective: Retrospective","NN7999-4413|U1111-1212-4050|EUPAS25696","October 1, 2018","October 1, 2027","October 1, 2027","October 1, 2018",,"January 11, 2022","Novo Nordisk Investigational Site, Baarn, Netherlands|Novo Nordisk Investigational Site, Sheffield, United Kingdom",,"https://ClinicalTrials.gov/show/NCT03690336"
117,"NCT03363347","BRAF V600E and Redifferentiation Therapy in Radioiodine-refractory Papillary Thyroid Cancer",,"Completed","No Results Available","Thyroid Cancer","Drug: Redifferentiation with retinoid acid","Response to radioiodine therapy after redifferentiation|Parameter tumor size|Parameter thyroglobulin levels (serum Tg)|Parameter radioiodine-uptake (RI-Uptake)","Heidelberg University","All","24 Years to 69 Years   (Adult, Older Adult)",,"25","Other","Observational","Observational Model: Case-Control|Time Perspective: Retrospective","S-206/2005","January 1, 2008","December 31, 2014","December 31, 2014","December 6, 2017",,"December 6, 2017",,"""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/47/NCT03363347/Prot_000.pdf","https://ClinicalTrials.gov/show/NCT03363347"
118,"NCT05086575","Observatory of Patients With Haemophilia B Treated by IdElvion®","OrPHEe","Recruiting","No Results Available","Haemophilia B",,"Annual bleeding rates (overall, spontaneous and traumatic) under the scope of long-term prophylaxis or on-demand treatment of non-surgical bleeding events|Number of spontaneous bleeding events per patient|Number of Idelvion® infusions and doses injected by infusion required to prevent and resolve non-surgical bleeding episodes|Incidence of non-surgical bleeding episodes|The number of infusions and total dose of Idelvion® (in IU/kg) required to prevent or treat surgical bleeding episodes|Incidence of surgical bleeding episodes|The number of infusions and total dose of Idelvion® (in IU/kg) required to cover a high risk of bleeding|The number of infusions and total dose of Factor IX consumed in the year prior to taking Idelvion®|The number of infusions and total dose of Idelvion®|The type and incidence of adverse events (AE) in particular severe AE,and AE related to Idelvion®|Completion of the following questionnaire: EQ-5D-3L for adults|Completion of the following questionnaire: EQ-5D-Y for children from 8 to 12 years","CSL Behring","All","Child, Adult, Older Adult",,"100","Industry","Observational","Observational Model: Cohort|Time Perspective: Prospective","OrPHEe study|2021-A00468-33","December 3, 2021","September 2026","September 2026","October 21, 2021",,"January 11, 2022","CH Annecy Genevois, Annecy, France|CHRU Besançon, Besançon, France|CHU Bordeaux - Hôpital Pellegrin, Bordeaux, France|CHRU Brest, Brest, France|CHU Caen, Caen, France|CHU Clermont-Ferrand, Clermont-Ferrand, France|CHU Dijon, Dijon, France|Hôpital Simone Veil, Eaubonne, France|CRC-MHC Hôpital Kremlin Bicêtre, Le Kremlin-Bicêtre, France|CH du Mans, Le Mans, France|CHRU Lille, Lille, France|Hôpital Edouard Herriot, Lyon, France|CHU Montpellier, Montpellier, France|CHRU Nancy, Nancy, France|CHU Nantes, Nantes, France|Hôpital Necker Enfants Malades, Paris, France|CHU Rennes, Rennes, France|CHU Rouen, Rouen, France|CHU Saint-Etienne, Saint-Étienne, France|Hôpital André Mignot - CH Versailles, Versailles, France",,"https://ClinicalTrials.gov/show/NCT05086575"
119,"NCT02647359","Study of Ataluren in Participants With Nonsense Mutation Aniridia","STAR","Completed","No Results Available","Aniridia","Drug: Ataluren|Drug: Placebo","Change From Baseline in Maximum Reading Speed of Oculus Unitas (OU) (Both Eyes) at Week 48, as Measured Using the MNREAD Acuity Charts|Change From Baseline in Reading Accessibility Index of OU at Week 48|Change From Baseline in Best Corrected Visual Acuity (BCVA) at Week 48|Change From Baseline in Maximum Reading Speed of Oculus Dexter (OD) (Right Eye) and Oculus Sinister (OS) (Left Eye) at Week 48|Change From Baseline in Reading Accessibility Index of OD and OS at Week 48|Change From Baseline in Critical Print Size of OU, OD and OS at Week 48|Change From Baseline in Reading Acuity of OU, OD and OS at Week 48|Change From Baseline in Severity of Corneal Keratopathy at Week 48 as Graded by Duke Reading Center|Change From Baseline in Iris Area at Week 48|Change From Baseline in BCVA at Week 240 (Sub-Study End of Study Visit)|Number of Participants With Treatment-Emergent Adverse Events (TEAEs)","PTC Therapeutics","All","2 Years and older   (Child, Adult, Older Adult)","Phase 2","39","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","PTC124-GD-028 ANI","January 31, 2016","January 22, 2021","January 22, 2021","January 6, 2016",,"November 10, 2021","Casey Eye Institute, Oregon Health & Science University, Portland, Oregon, United States|University of Virginia, Charlottesville, Virginia, United States|University of British Columbia, Vancouver, British Columbia, Canada",,"https://ClinicalTrials.gov/show/NCT02647359"
120,"NCT03075670","A Trial Comparing Nonacog Beta Pegol (N9-GP) and ALPROLIX® in Patients With Haemophilia B","paradigm™7","Completed","No Results Available","Congenital Bleeding Disorder|Haemophilia B","Drug: N9-GP|Drug: ALPROLIX®","Area under the factor IX activity-time curve from 0 to infinity dose-normalised to 50 IU/kg|Maximum activity dose-normalised to 50 IU/kg (Cmax,norm)|Incremental recovery at 30 minutes (IR30min)|Terminal half-life (t½)|Clearance (CL)|Area under the activity-time curve|Maximum activity (Cmax)|Activity at 30 minutes (C30min)|Activity at 168 hours (C168h)|Incremental recovery at maximum activity (IRCmax)|Time of maximum activity (tmax)|Apparent volume of distribution during terminal phase (Vz)|Apparent volume of distribution at steady-state (Vss)|Mean residence time (MRT)|Terminal elimination rate constant|Area under the activity-time curve from 0 to infinity|Area under the activity-time curve from 0 to t last|Number of adverse events","Novo Nordisk A/S","Male","18 Years and older   (Adult, Older Adult)","Phase 1","15","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","NN7999-4260|2016-001149-25|U1111-1180-7154","March 7, 2017","December 8, 2017","December 8, 2017","March 9, 2017",,"November 22, 2019","Novo Nordisk Investigational Site, Phoenix, Arizona, United States|Novo Nordisk Investigational Site, Chicago, Illinois, United States|Novo Nordisk Investigational Site, Peoria, Illinois, United States|Novo Nordisk Investigational Site, East Lansing, Michigan, United States|Novo Nordisk Investigational Site, Rochester, Minnesota, United States|Novo Nordisk Investigational Site, Oklahoma City, Oklahoma, United States|Novo Nordisk Investigational Site, Philadelphia, Pennsylvania, United States|Novo Nordisk Investigational Site, Berlin, Germany|Novo Nordisk Investigational Site, Duisburg, Germany|Novo Nordisk Investigational Site, Hannover, Germany|Novo Nordisk Investigational Site, Mörfelden-Walldorf, Germany|Novo Nordisk Investigational Site, Zürich, Switzerland",,"https://ClinicalTrials.gov/show/NCT03075670"
