"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
57,"NCT04940559","Study of Different Forms of Danicopan (Tablet, Softgel Capsule, Liquid-filled Capsule) in Healthy Participants",,"Completed","No Results Available","Healthy","Drug: Danicopan - Tablet|Drug: Danicopan - Softgel|Drug: Danicopan - LFC","PK: Maximum Plasma Concentration (Cmax) Of Danicopan After Treatment With Each Of The Three Formulations|PK: Time To Reach The Maximum Plasma Concentration (Tmax) Of Danicopan After Treatment With Each Of The Three Formulations|PK: Area Under The Plasma Concentration-time Curve Extrapolated To Infinity (AUC0-Inf) Of Danicopan After Treatment With Each Of The Three Formulations|PK: Cmax Of Danicopan After Treatment With The Tablet Under Fed And Fasted Conditions|PK: Tmax Of Danicopan After Treatment With The Tablet Under Fed And Fasted Conditions|PK: AUC0-inf Of Danicopan After Treatment With The Tablet Under Fed And Fasted Conditions|Incidence Of Serious Adverse Events, Grade 3 Or 4 Adverse Events (AEs), And AEs Leading To Discontinuation","Alexion Pharmaceuticals|Achillion, a wholly owned subsidiary of Alexion","All","18 Years to 55 Years   (Adult)","Phase 1","26","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","ACH471-006|ACTRN12616001017415","August 2, 2016","October 5, 2016","October 5, 2016","June 25, 2021",,"June 25, 2021","Clinical Trial Site, Auckland, New Zealand",,"https://ClinicalTrials.gov/show/NCT04940559"
58,"NCT04935294","Study of Danicopan in Participants With Normal Kidney Function and Participants With Kidney Dysfunction",,"Completed","No Results Available","Healthy|Renal Dysfunction","Drug: Danicopan","Participants With Treatment-emergent Adverse Events|Area Under The Plasma Concentration-time Curve Extrapolated To Infinity (AUC0-inf) Of Danicopan|Maximum Observed Plasma Concentration (Cmax) Of Danicopan|Time To Reach The Maximum Observed Plasma Concentration (Tmax) Of Danicopan|Alternative Pathway Activity As Measured By Wieslab Assay|Change From Baseline In Plasma Bb Fragment Of Complement Factor B Concentration|Change From Baseline In Complement Factor D Concentration","Alexion Pharmaceuticals|Achillion, a wholly owned subsidiary of Alexion","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 1","16","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","ACH471-009","January 24, 2018","May 29, 2018","May 29, 2018","June 23, 2021",,"June 23, 2021","Clinical Trial Site, Miami, Florida, United States|Clinical Trial Site, Orlando, Florida, United States|Clinical Trial Site, Minneapolis, Minnesota, United States|Clinical Trial Site, Saint Paul, Minnesota, United States",,"https://ClinicalTrials.gov/show/NCT04935294"
59,"NCT04889690","Study of Multiple Doses of Danicopan in Healthy Participants",,"Completed","No Results Available","Healthy","Drug: Danicopan|Drug: Placebo","Incidence Of Serious Adverse Events, Grade 3 Or 4 Adverse Events (AEs), AEs Leading To Discontinuation, And Clinically Significant Laboratory Abnormalities And Electrocardiogram Abnormalities|Maximum Observed Plasma Concentration (Cmax) Of Danicopan|Time To Maximum Observed Plasma Concentration (Tmax) Of Danicopan|Area Under The Plasma Concentration Versus Time Curve Over The Dosing Interval (AUCtau) Of Danicopan|Activity Of Danicopan As Measured By Alternative Pathway (AP) Wieslab Assay|Relationship Between AP Inhibition And Danicopan Plasma Concentrations","Alexion Pharmaceuticals|Achillion, a wholly owned subsidiary of Alexion","All","25 Years to 55 Years   (Adult)","Phase 1","45","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Basic Science","ACH471-002","May 21, 2016","January 11, 2017","January 11, 2017","May 17, 2021",,"May 17, 2021","Clinical Trial Site, Auckland, New Zealand",,"https://ClinicalTrials.gov/show/NCT04889690"
60,"NCT04889677","Study of a Single Dose of Danicopan in Healthy Participants",,"Completed","No Results Available","Healthy","Drug: Danicopan|Drug: Placebo","Incidence Of Serious Adverse Events, Grade 3 Or 4 Adverse Events (AEs), AEs Leading To Discontinuation, And Clinically Significant Laboratory Abnormalities And Electrocardiogram Abnormalities|Area Under The Plasma Concentration-time Curve Extrapolated To Infinity (AUC0-inf) Of Danicopan Under Both Fed And Fasted Conditions|Maximal Plasma Concentration (Cmax) Of Danicopan Under Both Fed And Fasted Conditions|Time To Reach The Maximal Plasma Concentration (Tmax) Of Danicopan Under Both Fed And Fasted Conditions|Relationship Between Alternative Pathway Inhibition And Danicopan Plasma Concentrations","Alexion Pharmaceuticals|Achillion, a wholly owned subsidiary of Alexion","All","21 Years to 55 Years   (Adult)","Phase 1","44","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Basic Science","ACH471-001","February 4, 2016","June 21, 2016","June 21, 2016","May 17, 2021",,"May 17, 2021","Clinical Trial Site, Auckland, New Zealand",,"https://ClinicalTrials.gov/show/NCT04889677"
61,"NCT04889391","Study of Radiolabeled Danicopan in Healthy Male Participants",,"Completed","No Results Available","Healthy","Drug: [14C]-Danicopan","Mean Cumulative Percentages Of Total Radioactivity Recovered In Urine And Feces Following A Single Oral Dose Of [14C]-Danicopan|Whole Blood And Plasma Pharmacokinetics (PK) Of Total Radioactivity After A Single Oral Dose Of [14C]-Danicopan: Area Under The Concentration-time Curve From Time 0 To The Time Of Last Quantifiable Concentration (AUC0-t)|Whole Blood And Plasma PK Of Total Radioactivity After A Single Oral Dose Of [14C]-Danicopan: Area Under The Concentration-time Curve Extrapolated to Infinity (AUC0-inf)|Whole Blood And Plasma PK Of Total Radioactivity After A Single Oral Dose Of [14C]-Danicopan: Maximum Observed Concentration (Cmax)|Whole Blood And Plasma PK Of Total Radioactivity After A Single Oral Dose Of [14C]-Danicopan: Time To Maximum Observed Concentration (Tmax)|Plasma PK Of Danicopan After A Single Oral Dose Of [14C]-Danicopan: AUC0-t|Plasma PK Of Danicopan After A Single Oral Dose Of [14C]-Danicopan: AUC0-inf|Plasma PK Of Danicopan After A Single Oral Dose Of [14C]-Danicopan: Cmax|Plasma PK Of Danicopan After A Single Oral Dose Of [14C]-Danicopan: Tmax|[14C]-Danicopan Metabolites In Plasma, Urine, And Feces|Percentage Of Total Radioactivity Detected For Each [14C]-Danicopan Metabolite in Plasma, Urine, And Feces|Incidence Of Treatment-emergent Adverse Events","Alexion Pharmaceuticals|Achillion, a wholly owned subsidiary of Alexion","Male","18 Years to 55 Years   (Adult)","Phase 1","8","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","ACH471-005","September 14, 2017","October 15, 2017","October 15, 2017","May 17, 2021",,"May 17, 2021","Clinical Trial Site, Auckland, New Zealand",,"https://ClinicalTrials.gov/show/NCT04889391"
62,"NCT03555539","Study of Danicopan in Participants With Hepatic Impairment",,"Completed","No Results Available","Hepatic Impairment","Drug: Danicopan","Area Under The Plasma Concentration Versus Time Curve From Time 0 Extrapolated To Infinity (AUC0-inf) Of Danicopan|Area Under The Plasma Concentration Versus Time Curve From Time 0 To The Last Measurable Concentration (AUC0-t) Of Danicopan|Maximum Observed Plasma Concentration (Cmax) Of Danicopan|Time To Maximum Observed Plasma Concentration (Tmax) Of Danicopan|Participants Experiencing Treatment-emergent Adverse Events","Alexion Pharmaceuticals|Achillion, a wholly owned subsidiary of Alexion","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 1","16","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","ACH471-012","May 1, 2018","September 21, 2018","September 21, 2018","June 13, 2018",,"August 20, 2021","Clinical Trial Site, Miami, Florida, United States|Clinical Trial Site, Orlando, Florida, United States",,"https://ClinicalTrials.gov/show/NCT03555539"
63,"NCT03472885","Study of Danicopan in Participants With Paroxysmal Nocturnal Hemoglobinuria With Inadequate Response to Eculizumab","PNH","Active, not recruiting","Has Results","Paroxysmal Nocturnal Hemoglobinuria (PNH)","Drug: Danicopan|Drug: Eculizumab","Change From Baseline In Hemoglobin At Week 24|Number Of Units Of Red Blood Cells (RBCs) Transfused During 24 Weeks Of Treatment|Number Of Participants Without RBC Transfusions|Change From Baseline In Lactate Dehydrogenase At Week 24|Number Of Participants With Serious Adverse Events (SAEs), Grade 3 And Grade 4 Adverse Events (AEs), And Events Leading To Discontinuation Of Study Drug","Alexion Pharmaceuticals|Achillion, a wholly owned subsidiary of Alexion","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 2","12","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ACH471-101|2016-003526-16|U1111-1209-4655","May 8, 2018","September 20, 2019","July 22, 2022","March 21, 2018","June 25, 2021","March 2, 2022","Clinical Study Site, Baltimore, Maryland, United States|Clinical Study Site, Cleveland, Ohio, United States|Clinical Study Site, Florence, Italy|Clinical Study Site, Naples, Italy|Clinical Study Site, London, United Kingdom","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/85/NCT03472885/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/85/NCT03472885/SAP_001.pdf","https://ClinicalTrials.gov/show/NCT03472885"
64,"NCT03384186","A Study of Modified Release Formulations of Danicopan in Healthy Adult Participants",,"Completed","No Results Available","Healthy","Drug: Danicopan Modified Release Prototype 1|Drug: Danicopan Modified Release Prototype 2|Drug: Danicopan Modified Release Prototype 3","Time To Maximum Observed Concentration (Tmax) Of Danicopan After Treatment With Each Prototype Formulation|Maximum Observed Concentration (Cmax) Of Danicopan After Treatment With Each Prototype Formulation|Area Under The Concentration Versus Time Curve From Time 0 Extrapolated To Infinity (AUC0-inf) Of Danicopan After Treatment With Each Prototype Formulation|Participants Experiencing Treatment-emergent Adverse Events","Alexion Pharmaceuticals|Achillion, a wholly owned subsidiary of Alexion","All","18 Years to 55 Years   (Adult)","Phase 1","14","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","ACH471-011|2017-003525-15","December 1, 2017","March 21, 2018","March 21, 2018","December 27, 2017",,"August 20, 2021","Clinical Trial Site, Ruddington, Nottingham, United Kingdom",,"https://ClinicalTrials.gov/show/NCT03384186"
65,"NCT03181633","A Long-Term Treatment Study of ACH-0144471 in Participants With Paroxysmal Nocturnal Hemoglobinuria (PNH)",,"Active, not recruiting","No Results Available","Paroxysmal Nocturnal Hemoglobinuria","Drug: ACH-0144471","Serious Adverse Events (SAEs), Grade 3 And Grade 4 Adverse Events (AEs), And AEs Leading To Discontinuation|Serum Lactate Dehydrogenase (LDH) Levels|Hemoglobin (Hgb) Levels|Number Of Red Blood Cell (RBC) Transfusions|Reticulocyte Counts|Functional Assessment Of Chronic Illness Therapy (FACIT) Fatigue Scale Scores|European Organization For Research And Treatment (EORTC) Cancer Core Quality Of Life Questionnaire (QLQ-C30) Scores","Alexion Pharmaceuticals|Achillion, a wholly owned subsidiary of Alexion","All","18 Years and older   (Adult, Older Adult)","Phase 2","8","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ACH471-103|2017-000665-79|U1111-1196-0653","June 22, 2017","January 3, 2022","March 24, 2022","June 9, 2017",,"February 22, 2022","Clinical Trial Site, Avellino, Italy|Clinical Trial Site, Naples, Italy|Clinical Trial Site, Seoul, Korea, Republic of|Clinical Trial Site, Auckland, New Zealand",,"https://ClinicalTrials.gov/show/NCT03181633"
66,"NCT03124368","A Proof-of-Mechanism Study to Determine the Effect of Danicopan on C3 Levels in Participants With C3G or IC-MPGN",,"Completed","Has Results","C3 Glomerulonephritis|Dense Deposit Disease|C3 Glomerulopathy|Immune Complex Mediated Membranoproliferative Glomerulonephritis|Membranoproliferative Glomerulonephritis Types I, II, and III","Drug: Danicopan","Change From Baseline In Serum C3 Complement Protein (C3) Levels On Day 15|Change From Baseline In Plasma Intact C3 Level On Day 15|Change From Baseline In Total Complement Classical Pathway (CP) Activity On Day 14|Change From Baseline In Total Complement Alternative Pathway (AP) Functional Activity (AP Wieslab) On Day 15|Time To Achieving Peak Serum C3 Levels|Number Of Participants With Serious Adverse Events (SAEs), Grade 3 And Grade 4 Treatment-emergent Adverse Events (TEAEs), And Adverse Events (AEs) Leading To Discontinuation|Pharmacokinetics (PK): Area Under The Plasma Concentration-time Curve From Time Of Administration To 8 Hours Postdose (AUC0-8)|PK: Maximum Plasma Concentration (Cmax)|PK: Time To Maximum Concentration (Tmax)|Change From Baseline In Bb Fragment Of Complement Factor B (Bb) At Day 15|Change From Baseline In Soluble Terminal Complement Complex (sC5b-9) At Day 15","Alexion Pharmaceuticals|Achillion, a wholly owned subsidiary of Alexion","All","16 Years to 65 Years   (Child, Adult, Older Adult)","Phase 2","6","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","ACH471-201|2016-003525-42","August 9, 2017","December 21, 2018","January 9, 2019","April 21, 2017","July 13, 2021","November 4, 2021","Clinical Trial Site, Melbourne, Australia|Clinical Trial Site, Antwerpen, Belgium|Clinical Trial Site, Leiden, Netherlands","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/68/NCT03124368/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/68/NCT03124368/SAP_001.pdf","https://ClinicalTrials.gov/show/NCT03124368"
67,"NCT03108274","A Drug Interaction Study Between Danicopan and Midazolam, Fexofenadine, and Mycophenolate Mofetil in Healthy Participants",,"Completed","No Results Available","Healthy","Drug: Danicopan|Drug: Midazolam|Drug: Fexofenadine|Drug: Mycophenolate Mofetil","Part 1: Midazolam Area Under The Plasma Concentration-time Curve From Time 0 To The Time Of The Last Observed Non-zero Concentration (AUC0-t) Following Single-dose Midazolam Alone Versus In The Presence of Steady-state Danicopan|Part 1: Midazolam Area Under The Plasma Concentration-time Curve From Time 0 Extrapolated To Infinity (AUC0-inf) Following Single-dose Midazolam Alone Versus In The Presence of Steady-state Danicopan|Part 1: Midazolam Maximum Observed Plasma Concentration (Cmax) Following Single-dose Midazolam Alone Versus In The Presence of Steady-state Danicopan|Part 1: Midazolam Time To Reach Maximum Observed Plasma Concentration (Tmax) Following Single-dose Midazolam Alone Versus In The Presence of Steady-state Danicopan|Part 2: Fexofenadine AUC0-t Following Single-dose Fexofenadine Alone Versus In The Presence of Steady-state Danicopan|Part 2: Fexofenadine AUC0-inf Following Single-dose Fexofenadine Alone Versus In The Presence of Steady-state Danicopan|Part 2: Fexofenadine Cmax Following Single-dose Fexofenadine Alone Versus In The Presence of Steady-state Danicopan|Part 2: Fexofenadine Tmax Following Single-dose Fexofenadine Alone Versus In The Presence of Steady-state Danicopan|Part 3: Mycophenolic Acid (MPA) and Mycophenolic Acid Glucuronide (MPAG) AUC0-t Following Single-dose Mycophenolate Mofetil (MMF) Alone Versus In The Presence of Steady-state Danicopan|Part 3: MPA and MPAG AUC0-inf Following Single-dose MMF Alone Versus In The Presence of Steady-state Danicopan|Part 3: MPA and MPAG Cmax Following Single-dose MMF Alone Versus In The Presence of Steady-state Danicopan|Part 3: MPA and MPAG Tmax Following Single-dose MMF Alone Versus In The Presence of Steady-state Danicopan|Parts 1-3: Participants Experiencing Treatment-emergent Adverse Events","Alexion Pharmaceuticals|Achillion, a wholly owned subsidiary of Alexion","All","18 Years to 60 Years   (Adult)","Phase 1","35","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","ACH471-010|U1111-1193-2774","April 18, 2017","June 2, 2017","June 16, 2017","April 11, 2017",,"June 24, 2021","Clinical Trial Site, Auckland, New Zealand",,"https://ClinicalTrials.gov/show/NCT03108274"
68,"NCT03053102","Study of Danicopan in Participants With Paroxysmal Nocturnal Hemoglobinuria (PNH)",,"Completed","Has Results","Paroxysmal Nocturnal Hemoglobinuria (PNH)","Drug: Danicopan","Change From Baseline In Serum LDH Levels At Day 28|Change From Baseline In Hemoglobin (Hgb) At Days 28 And 84|Serious Adverse Events (SAEs), Grade 3 And Grade 4 Treatment-emergent Adverse Events (TEAEs), And Adverse Events (AEs) Leading To Discontinuation|Grade 3 And Grade 4 Laboratory Abnormalities|Pharmacokinetics (PK): Area Under The Plasma Concentration-time Curve From Time Of Administration To 8 Hours Post-dose (AUC0-8)|PK: Maximum Plasma Concentration (Cmax)|PK: Time To Maximum Concentration (Tmax)|Complement Alternative Pathway (AP) Functional Activity|Complement Bb","Alexion Pharmaceuticals|Achillion, a wholly owned subsidiary of Alexion","All","18 Years and older   (Adult, Older Adult)","Phase 2","10","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ACH471-100|2016-002652-25|U1111-1190-3490","March 31, 2017","November 14, 2018","November 14, 2018","February 14, 2017","June 2, 2021","June 2, 2021","Clinical Trial Site, Florence, Italy|Clinical Trial Site, Naples, Italy|Clinical Trial Site, Seoul, Korea, Republic of|Clinical Trial Site, Auckland, New Zealand|Clinical Trial Site, London, United Kingdom","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/02/NCT03053102/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/02/NCT03053102/SAP_001.pdf","https://ClinicalTrials.gov/show/NCT03053102"
